mu8hy1ddiaCJWGweMGfRtfbVCu5dpi8kru	 OpenLongPosition	 10000000000	 mvZA5D6TCV18fJh7QFJYgLNeZjpavmLxrK	 OpenShortPosition	 10000000000	 10000000000
mu8hy1ddiaCJWGweMGfRtfbVCu5dpi8kru	 LongPosIncreased	 13000000000	 mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 OpenShortPosition	 3000000000	 3000000000
mvZA5D6TCV18fJh7QFJYgLNeZjpavmLxrK	 ShortPosNettedPartly	 9100000000	 mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 ShortPosIncreased	 3900000000	 900000000
mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 ShortPosIncreased	 6400000000	 mgso17ePNCK3NGNXmdUV84T5cbxDJtRD4z	 OpenLongPosition	 2500000000	 2500000000
mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 ShortPosIncreased	 8000000000	 mhkR2KS4sJW7qyiFixxvqBTavcDBmSzVuD	 OpenLongPosition	 1600000000	 1600000000
n1Eh5xdSHK8imym1Tu7UuGKN7FECJiVvDY	 OpenLongPosition	 6900000000	 miagc8GbWnh1ncqggH6sBFshccKVShyFQS	 OpenShortPosition	 6900000000	 6900000000
n2PgXdWxzzig9X4rZDwkR3qM2mFeoFj5qt	 OpenShortPosition	 3600000000	 mkoaDrQQnSsgWFY4u7ufAuEtngAKHAiwhK	 OpenLongPosition	 3600000000	 3600000000
mhbK8or2SNavbSSjbq29Y9UvPv2SEWk8Ds	 OpenShortPosition	 4000000000	 mvaNfY19pAUdfzE5mw6oaeRKaSXo2GPnuV	 OpenLongPosition	 4000000000	 4000000000
n2oznNfMRDcAZWXU4XXyx4MXZffGZUWpRr	 OpenLongPosition	 2300000000	 mpiM7TimySYQFXWuxah1ToTL8h3BVowLn8	 OpenShortPosition	 2300000000	 2300000000
mjUb4KG5XZ1RQwHUUgqA4s1531c5E8YNDW	 OpenLongPosition	 1700000000	 mnYoHGa2hT7N3YDe644BJ28HdupPN3pZMU	 OpenShortPosition	 1700000000	 1700000000
mpiM7TimySYQFXWuxah1ToTL8h3BVowLn8	 ShortPosIncreased	 5000000000	 msz1p7mP4vysokXfe7jSR1TPKBuNhNfkyo	 OpenLongPosition	 2700000000	 2700000000
