n1T6SmpdPYdDvT42dH8HCiumaS2PjSZRFG	 OpenLongPosition	 10000000000	 mkNAKqBSpYDCGUXj6bTLmFNJoGBfaDwVGT	 OpenShortPosition	 10000000000	 10000000000
n1T6SmpdPYdDvT42dH8HCiumaS2PjSZRFG	 LongPosNettedPartly	 1300000000	 mkNAKqBSpYDCGUXj6bTLmFNJoGBfaDwVGT	 ShortPosNettedPartly	 1300000000	 8700000000
mkNAKqBSpYDCGUXj6bTLmFNJoGBfaDwVGT	 ShortPosNettedPartly	 500000000	 mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 OpenShortPosition	 800000000	 800000000
mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 ShortPosIncreased	 1400000000	 n1y4ZsoXSRTvmAV2J5GR4eDH5FD9v6jyaN	 OpenLongPosition	 600000000	 600000000
mxU8dq9WmqDSvAgZ2X8xrdNvc1oQPZd6E9	 OpenShortPosition	 2100000000	 n1y4ZsoXSRTvmAV2J5GR4eDH5FD9v6jyaN	 LongPosIncreased	 2700000000	 2100000000
mgQcwYyKsQejL1fjNaRxshfJgL1mG1ZYtx	 OpenShortPosition	 200000000	 mhtnBNxuRr5Nc8WaXzGSQEeHHgYW7fnRFa	 OpenLongPosition	 200000000	 200000000
mgQcwYyKsQejL1fjNaRxshfJgL1mG1ZYtx	 ShortPosIncreased	 7000000000	 mobCRZDvce4nHVKu4KHeQDFXMAgapTvvG1	 OpenLongPosition	 6800000000	 6800000000
miacrf5VrVrMP9X4SPJ94QuNBzGmaB5fcT	 OpenShortPosition	 2000000000	 mobCRZDvce4nHVKu4KHeQDFXMAgapTvvG1	 LongPosIncreased	 8800000000	 2000000000
mjDsaUmLtSkLVKbjVMwvzqAP941bwgiA1J	 OpenLongPosition	 600000000	 mmNTDXMNj8oQi571nPGUY8gZiGWgS7G16m	 OpenShortPosition	 600000000	 600000000
mgMqCzb8zouprHkRGphVjiQDYnnapcaUbk	 OpenLongPosition	 6400000000	 mmNTDXMNj8oQi571nPGUY8gZiGWgS7G16m	 ShortPosIncreased	 7000000000	 6400000000
msymfjbQ7S9TZkXhuaiY42YBct2p9jmBRw	 OpenLongPosition	 1600000000	 mmNTDXMNj8oQi571nPGUY8gZiGWgS7G16m	 ShortPosIncreased	 8600000000	 1600000000
n1y4ZsoXSRTvmAV2J5GR4eDH5FD9v6jyaN	 LongPosIncreased	 4100000000	 muLnjQwGH6avy2v1nBsvCPoqhzZUSegLep	 OpenShortPosition	 1400000000	 1400000000
ms5JzrzcSC44U33xJMca2eqpEotDuqtFM5	 OpenLongPosition	 200000000	 muLnjQwGH6avy2v1nBsvCPoqhzZUSegLep	 ShortPosIncreased	 1600000000	 200000000
msymfjbQ7S9TZkXhuaiY42YBct2p9jmBRw	 LongPosIncreased	 8700000000	 muLnjQwGH6avy2v1nBsvCPoqhzZUSegLep	 ShortPosIncreased	 8700000000	 7100000000
