mthr88tCUByWNrrGiV5vxfWMYXvQHuB3kA	 OpenLongPosition	 2647	 mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 OpenShortPosition	 2647	 2647
n22acCuq7assnRegLpnt7ABmonNUcEV6Tr	 OpenLongPosition	 1961	 mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 OpenShortPosition	 1961	 1961
myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 OpenLongPosition	 124	 mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 ShortPosIncreased	 2085	 124
mwFdTzzPepbJn8QZde1MqE8ZFBYVrhEehS	 OpenLongPosition	 1405	 mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 ShortPosIncreased	 3490	 1405
mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 OpenLongPosition	 1296	 mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 ShortPosIncreased	 4786	 1296
mqnXbk5uBfVhF5YoaimDEg3ZDmb6qLCK9N	 OpenLongPosition	 2105	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 OpenShortPosition	 2105	 2105
mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 OpenLongPosition	 1648	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosIncreased	 3753	 1648
mvqMhEMRqWMHE3UtRbtoRrrkaAJp1EueTM	 OpenLongPosition	 403	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosIncreased	 4156	 403
mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 ShortPosNettedPartly	 2143	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosIncreased	 4660	 504
n4QsB5r92PpQ5sqjncC9xQqAbJXHzB9rTR	 OpenLongPosition	 1729	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 OpenShortPosition	 1729	 1729
mqMGdFenqRumyYSrERRvZG6naWZZjyaz1a	 OpenLongPosition	 1088	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosIncreased	 2817	 1088
n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 OpenLongPosition	 2115	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosIncreased	 4932	 2115
mtCfguT9wTAUFWS2hPFSKTFfeep8p8Y15D	 OpenLongPosition	 1168	 mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 OpenShortPosition	 1168	 1168
msseTTv6B3XTdLecB26sreJAUF93REF19f	 OpenLongPosition	 1542	 mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 ShortPosIncreased	 2710	 1542
mo2xpeb6yD1GEwimSxcunmhgyjgXmrFKGu	 OpenLongPosition	 1879	 mmQpkb8Xgvc9nHEDUNEEyb1x2Drik5caxT	 ShortPosIncreased	 4589	 1879
mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 ShortPosNettedPartly	 1485	 mo2xpeb6yD1GEwimSxcunmhgyjgXmrFKGu	 LongPosNettedPartly	 1221	 658
mgBrVNmXqrk9HTYAPZJVMVnCD6k4ATicDn	 OpenLongPosition	 403	 mvqMhEMRqWMHE3UtRbtoRrrkaAJp1EueTM	 LongPosNetted	 0	 403
mgBrVNmXqrk9HTYAPZJVMVnCD6k4ATicDn	 LongPosIncreased	 3564	 mvqMhEMRqWMHE3UtRbtoRrrkaAJp1EueTM	 OpenShortPosition	 3161	 3161
mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 OpenLongPosition	 724	 mvqMhEMRqWMHE3UtRbtoRrrkaAJp1EueTM	 ShortPosIncreased	 3885	 724
mo2xpeb6yD1GEwimSxcunmhgyjgXmrFKGu	 LongPosIncreased	 2181	 mgEujLeWD2yg7zexRqDyhhTqvoMj5nMCBN	 OpenShortPosition	 960	 960
mp5z2J9hftx9RQLBwhBE7WBmvasLdxszjy	 OpenLongPosition	 1227	 mgEujLeWD2yg7zexRqDyhhTqvoMj5nMCBN	 ShortPosIncreased	 2187	 1227
mp5z2J9hftx9RQLBwhBE7WBmvasLdxszjy	 LongPosIncreased	 1351	 myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 LongPosNetted	 0	 124
mp5z2J9hftx9RQLBwhBE7WBmvasLdxszjy	 LongPosIncreased	 1976	 myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 OpenShortPosition	 625	 625
mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 LongPosIncreased	 1145	 myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 ShortPosIncreased	 1046	 421
n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 OpenLongPosition	 152	 mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 OpenShortPosition	 152	 152
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 OpenLongPosition	 818	 mpjy86G1Zo3D8RtuFKrYqu8UgmMevcSwTh	 OpenShortPosition	 818	 818
