muvsdSXoK6f8UxWkFWVFgBZ2VurH6B3eJx	 OpenLongPosition	 1712	 n44RLfzjmrjeGef6ftkGBrP3Bc69GYXkDZ	 OpenShortPosition	 1712	 1712	 20051
mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 OpenLongPosition	 914	 n44RLfzjmrjeGef6ftkGBrP3Bc69GYXkDZ	 ShortPosIncreased	 2626	 914	 20214
mvb5tqR56y1NjwDpiGBwZYV7eu4jPoYTw9	 OpenLongPosition	 2657	 n4bvKdMpVREcz8rn9JkBqZzVxsTNCjj8jz	 OpenShortPosition	 2657	 2657	 17287
mx9agg9boRbEQ2E3NrgE2VDNFwN8KTUjJM	 OpenLongPosition	 438	 n4bvKdMpVREcz8rn9JkBqZzVxsTNCjj8jz	 ShortPosIncreased	 3095	 438	 17333
msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 OpenLongPosition	 397	 mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 OpenShortPosition	 397	 397	 13204
mwGPUnUKpK7QK57m379b8z68JdaaQ2zX5T	 OpenLongPosition	 1707	 moAujVDDdYTtWFbz5joUdP8Sc84oB33MD4	 OpenShortPosition	 1707	 1707	 18313
mx5QiGCRG98wCUkUqHzEwKdWMZkAPGdiLC	 OpenLongPosition	 2703	 moAujVDDdYTtWFbz5joUdP8Sc84oB33MD4	 ShortPosIncreased	 4410	 2703	 18397
moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 OpenLongPosition	 15	 moAujVDDdYTtWFbz5joUdP8Sc84oB33MD4	 ShortPosIncreased	 4425	 15	 18458
mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 LongPosIncreased	 4921	 mkNWPMwVTcHnpotgMFuH1cYF8bVXL5MkTA	 OpenShortPosition	 4007	 4007	 20214
mjV1YuUKqHpvEzcQFxq3BdqQpiymQ8fVqe	 OpenLongPosition	 1427	 mr2mdGfycxYeHUrkYk1pxXEMD3eFqZ9tBy	 OpenShortPosition	 1427	 1427	 14837
moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 OpenLongPosition	 1284	 mms8BNjYi3X2i8FPgTd5z6CZenKbV7iN3D	 OpenShortPosition	 1284	 1284	 20370
mwavwTXMZwCJRqz8wXtzMTdRenSfdptAmd	 OpenLongPosition	 532	 mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 OpenShortPosition	 532	 532	 17918
mjntcY9swQVP2fN2SJGUHH7h2HPZQjmaZS	 OpenLongPosition	 2664	 mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 ShortPosIncreased	 3196	 2664	 18006
moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosIncreased	 3885	 mxTXCrhitSXFeJC7e7tmLn1dV1wQXRwDXC	 OpenShortPosition	 3870	 3870	 18458
mtMK7LUeyd4cjcyWWosdGcCbPMatuKk2fY	 OpenLongPosition	 3919	 mn2QxmN1LyMDemFhwMDaNZQK8AsJJRoNQr	 OpenShortPosition	 3919	 3919	 17059
mjntcY9swQVP2fN2SJGUHH7h2HPZQjmaZS	 LongPosIncreased	 3810	 moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 LongPosNettedPartly	 138	 1146	 18006
mms8BNjYi3X2i8FPgTd5z6CZenKbV7iN3D	 ShortPosNettedPartly	 1146	 moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 LongPosNetted	 0	 138	 18050
mms8BNjYi3X2i8FPgTd5z6CZenKbV7iN3D	 ShortPosNettedPartly	 291	 moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 OpenShortPosition	 855	 855	 18050
n4TGnst5kkrnXK6jnj3bemdU1y95m4Uoiy	 OpenLongPosition	 2614	 moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 ShortPosIncreased	 3469	 2614	 18116
mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 OpenLongPosition	 322	 n3Ve7epNuqajmh8Kg2uvp1erX8ene4hHiw	 OpenShortPosition	 322	 322	 15903
mohb1y8JGnwhiybwwK1ogAoV4Mt7BuZaL4	 OpenLongPosition	 803	 mpeQWQRYn8NZ1jovwRDz8MQx3StDhe8fNB	 OpenShortPosition	 803	 803	 19675
mrdCZQtsasEvLgtaUsY4wNNki32qBPJLGx	 OpenLongPosition	 3145	 mpeQWQRYn8NZ1jovwRDz8MQx3StDhe8fNB	 ShortPosIncreased	 3948	 3145	 19774
mjV1YuUKqHpvEzcQFxq3BdqQpiymQ8fVqe	 LongPosIncreased	 1789	 msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 LongPosNettedPartly	 35	 362	 14837
mpeQWQRYn8NZ1jovwRDz8MQx3StDhe8fNB	 ShortPosNettedPartly	 3913	 msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 LongPosNetted	 0	 35	 14891
mpeQWQRYn8NZ1jovwRDz8MQx3StDhe8fNB	 ShortPosNettedPartly	 2966	 msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 OpenShortPosition	 947	 947	 14891
myAY77ZNcbQiNVk9aMFc8HprB3HfweDLiz	 OpenLongPosition	 861	 msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 ShortPosIncreased	 1808	 861	 15229
moaWhGueaRC6ZVhpfvnR74uewRMcG2wbNB	 LongPosIncreased	 4043	 myKWXQCpCrjZ5NodWwZ28JcstC9XdPqTWM	 OpenShortPosition	 158	 158	 18458
my9mdAL9N5vCCQ7BNfKu5J1VWy3XFwxoD6	 OpenLongPosition	 1554	 mytBiVyZA3Zy4JnVLPeL4vBCRGn22XBQFB	 OpenShortPosition	 1554	 1554	 12145
msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 ShortPosNettedPartly	 377	 mkCyJgaETPu6QuZZAXzq5g4M4hjVZ1dxzW	 OpenShortPosition	 1431	 1431	 13204
