addr1	 OpenLongPosition	 	20	 addr2	 OpenShortPosition	    20	 20
addr3	 OpenLongPosition	 	18	 addr1	 LongPosNettedPartly     2	 18
addr4	 OpenLongPosition	 	 2	 addr1	 LongPosNetted	 		 0	  2
addr4	 LongPosIncreased	 	 4	 addr1	 OpenShortPosition	 	 2	  2
addr2	 ShortPosNettedPartly	 4	 addr5	 OpenShortPosition	 	16	 16
addr2	 ShortPosNettedPartly	 2	 addr3	 LongPosNettedPartly	16	  2
addr6	 OpenLongPosition	 	16	 addr3	 LongPosNetted	 		 0	 16
addr6	 LongPosIncreased	 	18	 addr3	 OpenShortPosition	 	 2	  2
addr6	 LongPosIncreased	 	19	 addr4	 LongPosNettedPartly	 3	  1
addr4	 LongPosIncreased	 	22	 addr7	 OpenShortPosition	 	19	 19
addr7	 ShortPosNettedPartly	 6	 addr8	 OpenShortPosition	 	13	 13
addr7	 ShortPosNetted	 		 0	 addr9	 OpenShortPosition	 	 6	  6
addr7	 OpenLongPosition	 	10	 addr9	 ShortPosIncreased	 	16	 10
addr5	 ShortPosNettedPartly	 7	 addr9	 ShortPosIncreased	 	25	  9
addr5	 ShortPosNetted	 		 0	 addrx	 OpenShortPosition	 	 7	  7
addr5	 OpenLongPosition	 	 5	 addrx	 ShortPosIncreased	    12	  5
addr8	 ShortPosNettedPartly	10	 addrx	 ShortPosIncreased	 	15	  3
addr2	 ShortPosIncreased	 	 4	 addr1	 ShortPosNetted	 		 0	  2
addr2	 ShortPosIncreased	 	11	 addr1	 OpenLongPosition	 	 7	  7
addr4	 LongPosNettedPartly	 4	 addr1	 LongPosIncreased	 	25	 18
addr4	 LongPosNetted	 		 0	 addr5	 LongPosIncreased	 	 9	  4
addr4	 OpenShortPosition	 	 3	 addr5	 LongPosIncreased	 	12	  3
addr6	 LongPosNettedPartly	 5	 addr5	 LongPosIncreased	 	26	 14
